135 0.05101781129132094	0.0366938
140 0.05154650410596642	0.028507
145 0.063196773528574	0.0216477
150 0.0669190729678343	0.0186517
155 0.06467580245576583	0.0188348
160 0.06515376342758435	0.0202869
165 0.0633209236065337	0.0157049
170 0.05917248474411173	0.0124084
175 0.05716737340652108	0.0109523
180 0.05365386485289814	0.00998096
185 0.05054649003412517	0.0093376
190 0.04610905393822168	0.00855116
195 0.04111141714809943	0.00829667
200 0.04007869147848711	0.00797322
205 0.03831973762895675	0.00713321
210 0.03595937753299785	0.00619637
215 0.0345345116898703	0.00521246
220 0.03232657418105334	0.00496346
225 0.03082338385462385	0.00444127
230 0.02952151427386682	0.00391142
235 0.02839059403411228	0.00339447
240 0.02739812719629954	0.0029155
245 0.02651329021834901	0.00252207
250 0.02572059580825838	0.00223194
255 0.02501351889358874	0.00205324
260 0.02439209615229574	0.00195193
265 0.02385260984250816	0.00190162
270 0.02338699627331584	0.00186734
275 0.02298661846704813	0.00184274
280 0.02264463457653711	0.00180604
285 0.02235628460886039	0.00174942
290 0.02211721635786632	0.00168064
295 0.02192182638232186	0.00160627
300 0.02176277452809887	0.00154664
310 0.02153048709419066	0.00154004
320 0.02140741994921389	0.00171788
330 0.0214029224118105	0.00203396
340 0.02146578061668346	0.00234883
350 0.02156448763057767	0.00258898
360 0.02168748069998442	0.00277294
370 0.02183212879700265	0.00286189
380 0.02199206171388041	0.00287518
390 0.02212775450547982	0.00286741
400 0.02215237873364019	0.00305244
410 0.02200882880229075	0.00341747
420 0.02174084718370519	0.0037549
440 0.02061771087299396	0.00528586
460 0.02005931362003058	0.00465542
480 0.01987424313069167	0.00453931
500 0.01986602726705638	0.00484639
